year,round,alt,driverId,driverRef,driver_points,driver_standings_pos,driver_wins,grid,Podium,circuitRef,constructorRef,seconds
1991,1,345,131,modena,3,4,0,11,4,phoenix,tyrrell,7333.237
1991,1,345,127,gugelmin,0,21,0,23,0,phoenix,leyton,0
1991,1,345,95,mansell,0,20,0,4,0,phoenix,williams,0
1991,1,345,99,tarquini,0,8,0,22,8,phoenix,ags,0
1991,1,345,102,senna,10,1,1,1,1,phoenix,mclaren,7247.828
1991,1,345,77,berger,0,19,0,7,0,phoenix,mclaren,0
1991,1,345,122,capelli,0,17,0,18,0,phoenix,leyton,0
1991,1,345,141,bailey,0,30,0,0,0,phoenix,team_lotus,0
1991,1,345,90,moreno,0,15,0,8,0,phoenix,benetton,0
1991,1,345,133,caffi,0,27,0,0,0,phoenix,footwork,0
1991,1,345,137,piquet,4,3,0,5,3,phoenix,benetton,7325.204
1991,1,345,55,alesi,0,12,0,6,12,phoenix,ferrari,0
1991,1,345,105,alboreto,0,16,0,25,0,phoenix,footwork,0
1991,1,345,88,suzuki,1,6,0,21,6,phoenix,larrousse,0
1991,1,345,81,morbidelli,0,24,0,26,0,phoenix,minardi,0
1991,1,345,123,boutsen,0,18,0,20,0,phoenix,ligier,0
1991,1,345,100,comas,0,29,0,0,0,phoenix,ligier,0
1991,1,345,103,bernard,0,26,0,19,0,phoenix,larrousse,0
1991,1,345,117,prost,6,2,0,2,2,phoenix,ferrari,7264.15
1991,1,345,94,martini,0,9,0,15,9,phoenix,minardi,0
1991,1,345,92,gachot,0,10,0,14,10,phoenix,jordan,0
1991,1,345,78,larini,0,7,0,17,7,phoenix,lambo,0
1991,1,345,142,chaves,0,32,0,0,0,phoenix,coloni,0
1991,1,345,140,johansson,0,28,0,0,0,phoenix,ags,0
1991,1,345,129,grouillard,0,33,0,0,0,phoenix,fondmetal,0
1991,1,345,128,poele,0,34,0,0,0,phoenix,lambo,0
1991,1,345,87,blundell,0,22,0,24,0,phoenix,brabham,0
1991,1,345,139,pirro,0,23,0,9,0,phoenix,dallara,0
1991,1,345,119,patrese,0,14,0,3,0,phoenix,williams,0
1991,1,345,138,satoru_nakajima,2,5,0,16,5,phoenix,tyrrell,0
1991,1,345,110,cesaris,0,31,0,0,0,phoenix,jordan,0
1991,1,345,57,hakkinen,0,13,0,13,13,phoenix,team_lotus,0
1991,1,345,109,lehto,0,25,0,10,0,phoenix,dallara,0
1991,1,345,84,brundle,0,11,0,12,11,phoenix,brabham,0
1991,2,785,131,modena,3,6,0,9,0,interlagos,tyrrell,0
1991,2,785,127,gugelmin,0,28,0,8,0,interlagos,leyton,0
1991,2,785,95,mansell,0,20,0,3,0,interlagos,williams,0
1991,2,785,99,tarquini,0,13,0,24,0,interlagos,ags,0
1991,2,785,102,senna,20,1,2,1,1,interlagos,mclaren,5908.128
1991,2,785,77,berger,4,5,0,4,3,interlagos,mclaren,5913.544
1991,2,785,122,capelli,0,24,0,15,0,interlagos,leyton,0
1991,2,785,141,bailey,0,31,0,0,0,interlagos,team_lotus,0
1991,2,785,90,moreno,0,10,0,14,7,interlagos,benetton,0
1991,2,785,133,caffi,0,29,0,0,0,interlagos,footwork,0
1991,2,785,137,piquet,6,4,0,7,5,interlagos,benetton,5930.088
1991,2,785,55,alesi,1,8,0,5,6,interlagos,ferrari,5931.769
1991,2,785,105,alboreto,0,22,0,0,0,interlagos,footwork,0
1991,2,785,88,suzuki,1,9,0,17,0,interlagos,larrousse,0
1991,2,785,81,morbidelli,0,12,0,21,8,interlagos,minardi,0
1991,2,785,123,boutsen,0,17,0,18,10,interlagos,ligier,0
1991,2,785,100,comas,0,21,0,23,0,interlagos,ligier,0
1991,2,785,103,bernard,0,25,0,11,0,interlagos,larrousse,0
1991,2,785,117,prost,9,2,0,6,4,interlagos,ferrari,5926.497
1991,2,785,94,martini,0,15,0,20,0,interlagos,minardi,0
1991,2,785,92,gachot,0,16,0,10,13,interlagos,jordan,0
1991,2,785,78,larini,0,11,0,0,0,interlagos,lambo,0
1991,2,785,142,chaves,0,33,0,0,0,interlagos,coloni,0
1991,2,785,140,johansson,0,30,0,0,0,interlagos,ags,0
1991,2,785,129,grouillard,0,32,0,0,0,interlagos,fondmetal,0
1991,2,785,128,poele,0,34,0,0,0,interlagos,lambo,0
1991,2,785,87,blundell,0,23,0,25,0,interlagos,brabham,0
1991,2,785,139,pirro,0,19,0,12,11,interlagos,dallara,0
1991,2,785,119,patrese,6,3,0,2,2,interlagos,williams,5911.119
1991,2,785,138,satoru_nakajima,2,7,0,16,0,interlagos,tyrrell,0
1991,2,785,110,cesaris,0,27,0,13,0,interlagos,jordan,0
1991,2,785,57,hakkinen,0,14,0,22,9,interlagos,team_lotus,0
1991,2,785,109,lehto,0,26,0,19,0,interlagos,dallara,0
1991,2,785,84,brundle,0,18,0,26,12,interlagos,brabham,0
1991,3,37,131,modena,3,8,0,6,0,imola,tyrrell,0
1991,3,37,127,gugelmin,0,25,0,15,12,imola,leyton,0
1991,3,37,95,mansell,0,26,0,4,0,imola,williams,0
1991,3,37,99,tarquini,0,19,0,0,0,imola,ags,0
1991,3,37,102,senna,30,1,3,1,1,imola,mclaren,5714.75
1991,3,37,77,berger,10,2,0,5,2,imola,mclaren,5716.425
1991,3,37,122,capelli,0,29,0,22,0,imola,leyton,0
1991,3,37,141,bailey,1,13,0,26,6,imola,team_lotus,0
1991,3,37,90,moreno,0,15,0,13,13,imola,benetton,0
1991,3,37,120,barbazza,0,33,0,0,0,imola,ags,0
1991,3,37,133,caffi,0,31,0,0,0,imola,footwork,0
1991,3,37,137,piquet,6,5,0,14,0,imola,benetton,0
1991,3,37,55,alesi,1,11,0,7,0,imola,ferrari,0
1991,3,37,105,alboreto,0,28,0,0,0,imola,footwork,0
1991,3,37,88,suzuki,1,12,0,20,0,imola,lola,0
1991,3,37,81,morbidelli,0,18,0,8,0,imola,minardi,0
1991,3,37,123,boutsen,0,14,0,24,7,imola,ligier,0
1991,3,37,100,comas,0,22,0,19,10,imola,ligier,0
1991,3,37,103,bernard,0,30,0,17,0,imola,lola,0
1991,3,37,117,prost,9,3,0,3,0,imola,ferrari,0
1991,3,37,94,martini,3,7,0,9,4,imola,minardi,0
1991,3,37,92,gachot,0,21,0,13,0,imola,jordan,0
1991,3,37,78,larini,0,16,0,0,0,imola,lambo,0
1991,3,37,142,chaves,0,35,0,0,0,imola,coloni,0
1991,3,37,129,grouillard,0,34,0,0,0,imola,fondmetal,0
1991,3,37,128,poele,0,20,0,21,9,imola,lambo,0
1991,3,37,87,blundell,0,17,0,23,8,imola,brabham,0
1991,3,37,139,pirro,0,24,0,0,0,imola,dallara,0
1991,3,37,119,patrese,6,4,0,2,0,imola,williams,0
1991,3,37,138,satoru_nakajima,2,10,0,10,0,imola,tyrrell,0
1991,3,37,110,cesaris,0,27,0,11,0,imola,jordan,0
1991,3,37,57,hakkinen,2,9,0,25,5,imola,team_lotus,0
1991,3,37,109,lehto,4,6,0,16,3,imola,dallara,0
1991,3,37,84,brundle,0,23,0,18,11,imola,brabham,0
1991,4,7,131,modena,3,11,0,2,0,monaco,tyrrell,0
1991,4,7,127,gugelmin,0,27,0,15,0,monaco,leyton,0
1991,4,7,95,mansell,6,5,0,5,2,monaco,williams,6800.682
1991,4,7,99,tarquini,0,22,0,24,0,monaco,ags,0
1991,4,7,102,senna,40,1,4,1,1,monaco,mclaren,6782.334
1991,4,7,77,berger,10,3,0,6,0,monaco,mclaren,0
1991,4,7,122,capelli,0,30,0,18,0,monaco,leyton,0
1991,4,7,141,bailey,1,16,0,0,0,monaco,team_lotus,0
1991,4,7,90,moreno,3,9,0,8,4,monaco,benetton,0
1991,4,7,120,barbazza,0,32,0,0,0,monaco,ags,0
1991,4,7,133,caffi,0,31,0,0,0,monaco,footwork,0
1991,4,7,137,piquet,6,6,0,4,0,monaco,benetton,0
1991,4,7,55,alesi,5,7,0,9,3,monaco,ferrari,6829.789
1991,4,7,105,alboreto,0,29,0,22,0,monaco,footwork,0
1991,4,7,88,suzuki,1,15,0,20,0,monaco,lola,0
1991,4,7,81,morbidelli,0,20,0,17,0,monaco,minardi,0
1991,4,7,123,boutsen,0,17,0,16,7,monaco,ligier,0
1991,4,7,100,comas,0,25,0,26,10,monaco,ligier,0
1991,4,7,103,bernard,0,23,0,13,9,monaco,lola,0
1991,4,7,117,prost,11,2,0,7,5,monaco,ferrari,0
